,boot_type,targeted_structure,noise_type,rdm_comparison,n_cell,n_subj,n_stim,n_repeat,finished
122,both,VISpm,eye,corr,40,10,20,40,0
123,both,VISpm,eye,corr,40,10,40,10,0
124,both,VISpm,eye,corr,40,10,40,20,0
125,both,VISpm,eye,corr,40,10,40,40,0
126,both,VISpm,eye,corr,40,15,10,10,0
127,both,VISpm,eye,corr,40,15,10,20,0
128,both,VISpm,eye,corr,40,15,10,40,0
129,both,VISpm,eye,corr,40,15,20,10,0
130,both,VISpm,eye,corr,40,15,20,20,0
131,both,VISpm,eye,corr,40,15,20,40,0
132,both,VISpm,eye,corr,40,15,40,10,0
133,both,VISpm,eye,corr,40,15,40,20,0
134,both,VISpm,eye,corr,40,15,40,40,0
135,both,VISpm,eye,corr,80,5,10,10,0
136,both,VISpm,eye,corr,80,5,10,20,0
137,both,VISpm,eye,corr,80,5,10,40,0
138,both,VISpm,eye,corr,80,5,20,10,0
139,both,VISpm,eye,corr,80,5,20,20,0
140,both,VISpm,eye,corr,80,5,20,40,0
141,both,VISpm,eye,corr,80,5,40,10,0
142,both,VISpm,eye,corr,80,5,40,20,0
143,both,VISpm,eye,corr,80,5,40,40,0
144,both,VISpm,eye,corr,80,10,10,10,0
145,both,VISpm,eye,corr,80,10,10,20,0
146,both,VISpm,eye,corr,80,10,10,40,0
147,both,VISpm,eye,corr,80,10,20,10,0
148,both,VISpm,eye,corr,80,10,20,20,0
149,both,VISpm,eye,corr,80,10,20,40,0
150,both,VISpm,eye,corr,80,10,40,10,0
151,both,VISpm,eye,corr,80,10,40,20,0
152,both,VISpm,eye,corr,80,10,40,40,0
153,both,VISpm,eye,corr,80,15,10,10,0
154,both,VISpm,eye,corr,80,15,10,20,0
155,both,VISpm,eye,corr,80,15,10,40,0
156,both,VISpm,eye,corr,80,15,20,10,0
157,both,VISpm,eye,corr,80,15,20,20,0
158,both,VISpm,eye,corr,80,15,20,40,0
159,both,VISpm,eye,corr,80,15,40,10,0
160,both,VISpm,eye,corr,80,15,40,20,0
161,both,VISpm,eye,corr,80,15,40,40,0
162,both,VISpm,eye,corr_cov,20,5,10,10,0
163,both,VISpm,eye,corr_cov,20,5,10,20,0
164,both,VISpm,eye,corr_cov,20,5,10,40,0
165,both,VISpm,eye,corr_cov,20,5,20,10,0
166,both,VISpm,eye,corr_cov,20,5,20,20,0
167,both,VISpm,eye,corr_cov,20,5,20,40,0
168,both,VISpm,eye,corr_cov,20,5,40,10,0
169,both,VISpm,eye,corr_cov,20,5,40,20,0
170,both,VISpm,eye,corr_cov,20,5,40,40,0
171,both,VISpm,eye,corr_cov,20,10,10,10,0
172,both,VISpm,eye,corr_cov,20,10,10,20,0
173,both,VISpm,eye,corr_cov,20,10,10,40,0
174,both,VISpm,eye,corr_cov,20,10,20,10,0
175,both,VISpm,eye,corr_cov,20,10,20,20,0
176,both,VISpm,eye,corr_cov,20,10,20,40,0
177,both,VISpm,eye,corr_cov,20,10,40,10,0
178,both,VISpm,eye,corr_cov,20,10,40,20,0
179,both,VISpm,eye,corr_cov,20,10,40,40,0
180,both,VISpm,eye,corr_cov,20,15,10,10,0
181,both,VISpm,eye,corr_cov,20,15,10,20,0
182,both,VISpm,eye,corr_cov,20,15,10,40,0
183,both,VISpm,eye,corr_cov,20,15,20,10,0
184,both,VISpm,eye,corr_cov,20,15,20,20,0
185,both,VISpm,eye,corr_cov,20,15,20,40,0
186,both,VISpm,eye,corr_cov,20,15,40,10,0
187,both,VISpm,eye,corr_cov,20,15,40,20,0
188,both,VISpm,eye,corr_cov,20,15,40,40,0
189,both,VISpm,eye,corr_cov,40,5,10,10,0
190,both,VISpm,eye,corr_cov,40,5,10,20,0
191,both,VISpm,eye,corr_cov,40,5,10,40,0
192,both,VISpm,eye,corr_cov,40,5,20,10,0
193,both,VISpm,eye,corr_cov,40,5,20,20,0
194,both,VISpm,eye,corr_cov,40,5,20,40,0
195,both,VISpm,eye,corr_cov,40,5,40,10,0
196,both,VISpm,eye,corr_cov,40,5,40,20,0
197,both,VISpm,eye,corr_cov,40,5,40,40,0
198,both,VISpm,eye,corr_cov,40,10,10,10,0
199,both,VISpm,eye,corr_cov,40,10,10,20,0
200,both,VISpm,eye,corr_cov,40,10,10,40,0
201,both,VISpm,eye,corr_cov,40,10,20,10,0
202,both,VISpm,eye,corr_cov,40,10,20,20,0
203,both,VISpm,eye,corr_cov,40,10,20,40,0
204,both,VISpm,eye,corr_cov,40,10,40,10,0
205,both,VISpm,eye,corr_cov,40,10,40,20,0
206,both,VISpm,eye,corr_cov,40,10,40,40,0
207,both,VISpm,eye,corr_cov,40,15,10,10,0
208,both,VISpm,eye,corr_cov,40,15,10,20,0
209,both,VISpm,eye,corr_cov,40,15,10,40,0
210,both,VISpm,eye,corr_cov,40,15,20,10,0
211,both,VISpm,eye,corr_cov,40,15,20,20,0
212,both,VISpm,eye,corr_cov,40,15,20,40,0
213,both,VISpm,eye,corr_cov,40,15,40,10,0
214,both,VISpm,eye,corr_cov,40,15,40,20,0
215,both,VISpm,eye,corr_cov,40,15,40,40,0
216,both,VISpm,eye,corr_cov,80,5,10,10,0
217,both,VISpm,eye,corr_cov,80,5,10,20,0
218,both,VISpm,eye,corr_cov,80,5,10,40,0
219,both,VISpm,eye,corr_cov,80,5,20,10,0
220,both,VISpm,eye,corr_cov,80,5,20,20,0
221,both,VISpm,eye,corr_cov,80,5,20,40,0
222,both,VISpm,eye,corr_cov,80,5,40,10,0
223,both,VISpm,eye,corr_cov,80,5,40,20,0
224,both,VISpm,eye,corr_cov,80,5,40,40,0
225,both,VISpm,eye,corr_cov,80,10,10,10,0
226,both,VISpm,eye,corr_cov,80,10,10,20,0
227,both,VISpm,eye,corr_cov,80,10,10,40,0
228,both,VISpm,eye,corr_cov,80,10,20,10,0
229,both,VISpm,eye,corr_cov,80,10,20,20,0
230,both,VISpm,eye,corr_cov,80,10,20,40,0
231,both,VISpm,eye,corr_cov,80,10,40,10,0
232,both,VISpm,eye,corr_cov,80,10,40,20,0
233,both,VISpm,eye,corr_cov,80,10,40,40,0
234,both,VISpm,eye,corr_cov,80,15,10,10,0
235,both,VISpm,eye,corr_cov,80,15,10,20,0
236,both,VISpm,eye,corr_cov,80,15,10,40,0
237,both,VISpm,eye,corr_cov,80,15,20,10,0
238,both,VISpm,eye,corr_cov,80,15,20,20,0
239,both,VISpm,eye,corr_cov,80,15,20,40,0
240,both,VISpm,eye,corr_cov,80,15,40,10,0
241,both,VISpm,eye,corr_cov,80,15,40,20,0
242,both,VISpm,eye,corr_cov,80,15,40,40,0
243,both,VISpm,eye,cosine_cov,20,5,10,10,0
244,both,VISpm,eye,cosine_cov,20,5,10,20,0
245,both,VISpm,eye,cosine_cov,20,5,10,40,0
246,both,VISpm,eye,cosine_cov,20,5,20,10,0
247,both,VISpm,eye,cosine_cov,20,5,20,20,0
248,both,VISpm,eye,cosine_cov,20,5,20,40,0
249,both,VISpm,eye,cosine_cov,20,5,40,10,0
250,both,VISpm,eye,cosine_cov,20,5,40,20,0
251,both,VISpm,eye,cosine_cov,20,5,40,40,0
252,both,VISpm,eye,cosine_cov,20,10,10,10,0
253,both,VISpm,eye,cosine_cov,20,10,10,20,0
254,both,VISpm,eye,cosine_cov,20,10,10,40,0
255,both,VISpm,eye,cosine_cov,20,10,20,10,0
256,both,VISpm,eye,cosine_cov,20,10,20,20,0
257,both,VISpm,eye,cosine_cov,20,10,20,40,0
258,both,VISpm,eye,cosine_cov,20,10,40,10,0
259,both,VISpm,eye,cosine_cov,20,10,40,20,0
260,both,VISpm,eye,cosine_cov,20,10,40,40,0
261,both,VISpm,eye,cosine_cov,20,15,10,10,0
262,both,VISpm,eye,cosine_cov,20,15,10,20,0
263,both,VISpm,eye,cosine_cov,20,15,10,40,0
264,both,VISpm,eye,cosine_cov,20,15,20,10,0
265,both,VISpm,eye,cosine_cov,20,15,20,20,0
266,both,VISpm,eye,cosine_cov,20,15,20,40,0
267,both,VISpm,eye,cosine_cov,20,15,40,10,0
268,both,VISpm,eye,cosine_cov,20,15,40,20,0
269,both,VISpm,eye,cosine_cov,20,15,40,40,0
270,both,VISpm,eye,cosine_cov,40,5,10,10,0
271,both,VISpm,eye,cosine_cov,40,5,10,20,0
272,both,VISpm,eye,cosine_cov,40,5,10,40,0
273,both,VISpm,eye,cosine_cov,40,5,20,10,0
274,both,VISpm,eye,cosine_cov,40,5,20,20,0
275,both,VISpm,eye,cosine_cov,40,5,20,40,0
276,both,VISpm,eye,cosine_cov,40,5,40,10,0
277,both,VISpm,eye,cosine_cov,40,5,40,20,0
278,both,VISpm,eye,cosine_cov,40,5,40,40,0
279,both,VISpm,eye,cosine_cov,40,10,10,10,0
280,both,VISpm,eye,cosine_cov,40,10,10,20,0
281,both,VISpm,eye,cosine_cov,40,10,10,40,0
282,both,VISpm,eye,cosine_cov,40,10,20,10,0
283,both,VISpm,eye,cosine_cov,40,10,20,20,0
284,both,VISpm,eye,cosine_cov,40,10,20,40,0
285,both,VISpm,eye,cosine_cov,40,10,40,10,0
286,both,VISpm,eye,cosine_cov,40,10,40,20,0
287,both,VISpm,eye,cosine_cov,40,10,40,40,0
288,both,VISpm,eye,cosine_cov,40,15,10,10,0
289,both,VISpm,eye,cosine_cov,40,15,10,20,0
290,both,VISpm,eye,cosine_cov,40,15,10,40,0
291,both,VISpm,eye,cosine_cov,40,15,20,10,0
292,both,VISpm,eye,cosine_cov,40,15,20,20,0
293,both,VISpm,eye,cosine_cov,40,15,20,40,0
294,both,VISpm,eye,cosine_cov,40,15,40,10,0
295,both,VISpm,eye,cosine_cov,40,15,40,20,0
296,both,VISpm,eye,cosine_cov,40,15,40,40,0
297,both,VISpm,eye,cosine_cov,80,5,10,10,0
298,both,VISpm,eye,cosine_cov,80,5,10,20,0
299,both,VISpm,eye,cosine_cov,80,5,10,40,0
300,both,VISpm,eye,cosine_cov,80,5,20,10,0
301,both,VISpm,eye,cosine_cov,80,5,20,20,0
302,both,VISpm,eye,cosine_cov,80,5,20,40,0
303,both,VISpm,eye,cosine_cov,80,5,40,10,0
304,both,VISpm,eye,cosine_cov,80,5,40,20,0
305,both,VISpm,eye,cosine_cov,80,5,40,40,0
306,both,VISpm,eye,cosine_cov,80,10,10,10,0
307,both,VISpm,eye,cosine_cov,80,10,10,20,0
308,both,VISpm,eye,cosine_cov,80,10,10,40,0
309,both,VISpm,eye,cosine_cov,80,10,20,10,0
310,both,VISpm,eye,cosine_cov,80,10,20,20,0
311,both,VISpm,eye,cosine_cov,80,10,20,40,0
312,both,VISpm,eye,cosine_cov,80,10,40,10,0
313,both,VISpm,eye,cosine_cov,80,10,40,20,0
314,both,VISpm,eye,cosine_cov,80,10,40,40,0
315,both,VISpm,eye,cosine_cov,80,15,10,10,0
316,both,VISpm,eye,cosine_cov,80,15,10,20,0
317,both,VISpm,eye,cosine_cov,80,15,10,40,0
318,both,VISpm,eye,cosine_cov,80,15,20,10,0
319,both,VISpm,eye,cosine_cov,80,15,20,20,0
320,both,VISpm,eye,cosine_cov,80,15,20,40,0
321,both,VISpm,eye,cosine_cov,80,15,40,10,0
322,both,VISpm,eye,cosine_cov,80,15,40,20,0
323,both,VISpm,eye,cosine_cov,80,15,40,40,0
324,both,VISpm,diag,cosine,20,5,10,10,0
325,both,VISpm,diag,cosine,20,5,10,20,0
326,both,VISpm,diag,cosine,20,5,10,40,0
327,both,VISpm,diag,cosine,20,5,20,10,0
328,both,VISpm,diag,cosine,20,5,20,20,0
329,both,VISpm,diag,cosine,20,5,20,40,0
330,both,VISpm,diag,cosine,20,5,40,10,0
331,both,VISpm,diag,cosine,20,5,40,20,0
332,both,VISpm,diag,cosine,20,5,40,40,0
333,both,VISpm,diag,cosine,20,10,10,10,0
334,both,VISpm,diag,cosine,20,10,10,20,0
335,both,VISpm,diag,cosine,20,10,10,40,0
336,both,VISpm,diag,cosine,20,10,20,10,0
337,both,VISpm,diag,cosine,20,10,20,20,0
338,both,VISpm,diag,cosine,20,10,20,40,0
339,both,VISpm,diag,cosine,20,10,40,10,0
340,both,VISpm,diag,cosine,20,10,40,20,0
341,both,VISpm,diag,cosine,20,10,40,40,0
342,both,VISpm,diag,cosine,20,15,10,10,0
343,both,VISpm,diag,cosine,20,15,10,20,0
344,both,VISpm,diag,cosine,20,15,10,40,0
345,both,VISpm,diag,cosine,20,15,20,10,0
346,both,VISpm,diag,cosine,20,15,20,20,0
347,both,VISpm,diag,cosine,20,15,20,40,0
348,both,VISpm,diag,cosine,20,15,40,10,0
349,both,VISpm,diag,cosine,20,15,40,20,0
350,both,VISpm,diag,cosine,20,15,40,40,0
351,both,VISpm,diag,cosine,40,5,10,10,0
352,both,VISpm,diag,cosine,40,5,10,20,0
353,both,VISpm,diag,cosine,40,5,10,40,0
354,both,VISpm,diag,cosine,40,5,20,10,0
355,both,VISpm,diag,cosine,40,5,20,20,0
356,both,VISpm,diag,cosine,40,5,20,40,0
357,both,VISpm,diag,cosine,40,5,40,10,0
358,both,VISpm,diag,cosine,40,5,40,20,0
359,both,VISpm,diag,cosine,40,5,40,40,0
360,both,VISpm,diag,cosine,40,10,10,10,0
361,both,VISpm,diag,cosine,40,10,10,20,0
362,both,VISpm,diag,cosine,40,10,10,40,0
363,both,VISpm,diag,cosine,40,10,20,10,0
364,both,VISpm,diag,cosine,40,10,20,20,0
365,both,VISpm,diag,cosine,40,10,20,40,0
366,both,VISpm,diag,cosine,40,10,40,10,0
367,both,VISpm,diag,cosine,40,10,40,20,0
368,both,VISpm,diag,cosine,40,10,40,40,0
369,both,VISpm,diag,cosine,40,15,10,10,0
370,both,VISpm,diag,cosine,40,15,10,20,0
371,both,VISpm,diag,cosine,40,15,10,40,0
372,both,VISpm,diag,cosine,40,15,20,10,0
373,both,VISpm,diag,cosine,40,15,20,20,0
374,both,VISpm,diag,cosine,40,15,20,40,0
375,both,VISpm,diag,cosine,40,15,40,10,0
376,both,VISpm,diag,cosine,40,15,40,20,0
377,both,VISpm,diag,cosine,40,15,40,40,0
378,both,VISpm,diag,cosine,80,5,10,10,0
379,both,VISpm,diag,cosine,80,5,10,20,0
380,both,VISpm,diag,cosine,80,5,10,40,0
381,both,VISpm,diag,cosine,80,5,20,10,0
382,both,VISpm,diag,cosine,80,5,20,20,0
383,both,VISpm,diag,cosine,80,5,20,40,0
384,both,VISpm,diag,cosine,80,5,40,10,0
385,both,VISpm,diag,cosine,80,5,40,20,0
386,both,VISpm,diag,cosine,80,5,40,40,0
387,both,VISpm,diag,cosine,80,10,10,10,0
388,both,VISpm,diag,cosine,80,10,10,20,0
389,both,VISpm,diag,cosine,80,10,10,40,0
390,both,VISpm,diag,cosine,80,10,20,10,0
391,both,VISpm,diag,cosine,80,10,20,20,0
392,both,VISpm,diag,cosine,80,10,20,40,0
393,both,VISpm,diag,cosine,80,10,40,10,0
394,both,VISpm,diag,cosine,80,10,40,20,0
395,both,VISpm,diag,cosine,80,10,40,40,0
396,both,VISpm,diag,cosine,80,15,10,10,0
397,both,VISpm,diag,cosine,80,15,10,20,0
398,both,VISpm,diag,cosine,80,15,10,40,0
399,both,VISpm,diag,cosine,80,15,20,10,0
400,both,VISpm,diag,cosine,80,15,20,20,0
401,both,VISpm,diag,cosine,80,15,20,40,0
402,both,VISpm,diag,cosine,80,15,40,10,0
403,both,VISpm,diag,cosine,80,15,40,20,0
404,both,VISpm,diag,cosine,80,15,40,40,0
405,both,VISpm,diag,corr,20,5,10,10,0
406,both,VISpm,diag,corr,20,5,10,20,0
407,both,VISpm,diag,corr,20,5,10,40,0
408,both,VISpm,diag,corr,20,5,20,10,0
409,both,VISpm,diag,corr,20,5,20,20,0
410,both,VISpm,diag,corr,20,5,20,40,0
411,both,VISpm,diag,corr,20,5,40,10,0
412,both,VISpm,diag,corr,20,5,40,20,0
413,both,VISpm,diag,corr,20,5,40,40,0
414,both,VISpm,diag,corr,20,10,10,10,0
415,both,VISpm,diag,corr,20,10,10,20,0
416,both,VISpm,diag,corr,20,10,10,40,0
417,both,VISpm,diag,corr,20,10,20,10,0
418,both,VISpm,diag,corr,20,10,20,20,0
419,both,VISpm,diag,corr,20,10,20,40,0
420,both,VISpm,diag,corr,20,10,40,10,0
421,both,VISpm,diag,corr,20,10,40,20,0
422,both,VISpm,diag,corr,20,10,40,40,0
423,both,VISpm,diag,corr,20,15,10,10,0
424,both,VISpm,diag,corr,20,15,10,20,0
425,both,VISpm,diag,corr,20,15,10,40,0
426,both,VISpm,diag,corr,20,15,20,10,0
427,both,VISpm,diag,corr,20,15,20,20,0
428,both,VISpm,diag,corr,20,15,20,40,0
429,both,VISpm,diag,corr,20,15,40,10,0
430,both,VISpm,diag,corr,20,15,40,20,0
431,both,VISpm,diag,corr,20,15,40,40,0
432,both,VISpm,diag,corr,40,5,10,10,0
433,both,VISpm,diag,corr,40,5,10,20,0
434,both,VISpm,diag,corr,40,5,10,40,0
435,both,VISpm,diag,corr,40,5,20,10,0
436,both,VISpm,diag,corr,40,5,20,20,0
437,both,VISpm,diag,corr,40,5,20,40,0
438,both,VISpm,diag,corr,40,5,40,10,0
439,both,VISpm,diag,corr,40,5,40,20,0
440,both,VISpm,diag,corr,40,5,40,40,0
441,both,VISpm,diag,corr,40,10,10,10,0
442,both,VISpm,diag,corr,40,10,10,20,0
443,both,VISpm,diag,corr,40,10,10,40,0
444,both,VISpm,diag,corr,40,10,20,10,0
445,both,VISpm,diag,corr,40,10,20,20,0
446,both,VISpm,diag,corr,40,10,20,40,0
447,both,VISpm,diag,corr,40,10,40,10,0
448,both,VISpm,diag,corr,40,10,40,20,0
449,both,VISpm,diag,corr,40,10,40,40,0
450,both,VISpm,diag,corr,40,15,10,10,0
451,both,VISpm,diag,corr,40,15,10,20,0
452,both,VISpm,diag,corr,40,15,10,40,0
453,both,VISpm,diag,corr,40,15,20,10,0
454,both,VISpm,diag,corr,40,15,20,20,0
455,both,VISpm,diag,corr,40,15,20,40,0
456,both,VISpm,diag,corr,40,15,40,10,0
457,both,VISpm,diag,corr,40,15,40,20,0
458,both,VISpm,diag,corr,40,15,40,40,0
459,both,VISpm,diag,corr,80,5,10,10,0
460,both,VISpm,diag,corr,80,5,10,20,0
461,both,VISpm,diag,corr,80,5,10,40,0
462,both,VISpm,diag,corr,80,5,20,10,0
463,both,VISpm,diag,corr,80,5,20,20,0
464,both,VISpm,diag,corr,80,5,20,40,0
465,both,VISpm,diag,corr,80,5,40,10,0
466,both,VISpm,diag,corr,80,5,40,20,0
467,both,VISpm,diag,corr,80,5,40,40,0
468,both,VISpm,diag,corr,80,10,10,10,0
469,both,VISpm,diag,corr,80,10,10,20,0
470,both,VISpm,diag,corr,80,10,10,40,0
471,both,VISpm,diag,corr,80,10,20,10,0
472,both,VISpm,diag,corr,80,10,20,20,0
473,both,VISpm,diag,corr,80,10,20,40,0
474,both,VISpm,diag,corr,80,10,40,10,0
475,both,VISpm,diag,corr,80,10,40,20,0
476,both,VISpm,diag,corr,80,10,40,40,0
477,both,VISpm,diag,corr,80,15,10,10,0
478,both,VISpm,diag,corr,80,15,10,20,0
479,both,VISpm,diag,corr,80,15,10,40,0
480,both,VISpm,diag,corr,80,15,20,10,0
481,both,VISpm,diag,corr,80,15,20,20,0
482,both,VISpm,diag,corr,80,15,20,40,0
483,both,VISpm,diag,corr,80,15,40,10,0
484,both,VISpm,diag,corr,80,15,40,20,0
485,both,VISpm,diag,corr,80,15,40,40,0
486,both,VISpm,diag,corr_cov,20,5,10,10,0
487,both,VISpm,diag,corr_cov,20,5,10,20,0
488,both,VISpm,diag,corr_cov,20,5,10,40,0
489,both,VISpm,diag,corr_cov,20,5,20,10,0
490,both,VISpm,diag,corr_cov,20,5,20,20,0
491,both,VISpm,diag,corr_cov,20,5,20,40,0
492,both,VISpm,diag,corr_cov,20,5,40,10,0
493,both,VISpm,diag,corr_cov,20,5,40,20,0
494,both,VISpm,diag,corr_cov,20,5,40,40,0
495,both,VISpm,diag,corr_cov,20,10,10,10,0
496,both,VISpm,diag,corr_cov,20,10,10,20,0
497,both,VISpm,diag,corr_cov,20,10,10,40,0
498,both,VISpm,diag,corr_cov,20,10,20,10,0
499,both,VISpm,diag,corr_cov,20,10,20,20,0
500,both,VISpm,diag,corr_cov,20,10,20,40,0
501,both,VISpm,diag,corr_cov,20,10,40,10,0
502,both,VISpm,diag,corr_cov,20,10,40,20,0
503,both,VISpm,diag,corr_cov,20,10,40,40,0
504,both,VISpm,diag,corr_cov,20,15,10,10,0
505,both,VISpm,diag,corr_cov,20,15,10,20,0
506,both,VISpm,diag,corr_cov,20,15,10,40,0
507,both,VISpm,diag,corr_cov,20,15,20,10,0
508,both,VISpm,diag,corr_cov,20,15,20,20,0
509,both,VISpm,diag,corr_cov,20,15,20,40,0
510,both,VISpm,diag,corr_cov,20,15,40,10,0
511,both,VISpm,diag,corr_cov,20,15,40,20,0
512,both,VISpm,diag,corr_cov,20,15,40,40,0
513,both,VISpm,diag,corr_cov,40,5,10,10,0
514,both,VISpm,diag,corr_cov,40,5,10,20,0
515,both,VISpm,diag,corr_cov,40,5,10,40,0
516,both,VISpm,diag,corr_cov,40,5,20,10,0
517,both,VISpm,diag,corr_cov,40,5,20,20,0
518,both,VISpm,diag,corr_cov,40,5,20,40,0
519,both,VISpm,diag,corr_cov,40,5,40,10,0
520,both,VISpm,diag,corr_cov,40,5,40,20,0
521,both,VISpm,diag,corr_cov,40,5,40,40,0
